Application/Permit Number,Permit Type,Status,Category,Expiration Date,Location,Zipcode,Expected Construct Year,Expected Construct Month,Description
6308976,Construction,Permit Issued,COMMERCIAL,09/16/2016,"3026 BEACON AVE S
(47.57614176, -122.30914867)",98144,2016,9,Relocate driveway and some parking for existing apartment building per plans.
6309807,Construction,Permit Issued,COMMERCIAL,05/07/2014,"558 1ST AVE S
(47.59657214, -122.33395768)",98104,2014,5,"Construct alterations and change use from warehouse to gallery and art studios on the first floor of existing commercial building, occupy per plan"
6309865,Construction,Permit Issued,COMMERCIAL,12/22/2017,"5000 UNIVERSITY WAY NE
(47.66503385, -122.31281902)",98105,2017,12,"Construct of residential and retail building with covered parking and occupy, per plan (shoring and excavation under 6377398). (Mechanical included)"
6310651,Construction,Permit Finaled,MULTIFAMILY,02/15/2014,"326 NW 41ST ST
(47.6571309, -122.36226454)",98107,2014,2,"Establish use as rowhouse and construct 3-unit rowhouse bldg with one attached garage and two surface parking stalls, per plan."
6310694,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/26/2018,"6002 26TH AVE NE
(47.67230274, -122.29929475)",98115,2018,7,"Construct partial 2nd floor addition and alterations to existing single family residence, per plan"
6310893,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/23/2018,"7300 35TH AVE SW
(47.53718788, -122.37624517)",98126,2018,5,Change of use from a public facility (fire station #37) to single family residence per plan.
6310987,Construction,Permit Issued,COMMERCIAL,09/25/2017,"3926 AURORA AVE N
(47.65487945, -122.34698172)",98103,2017,9,Construct a 4-story hotel (Staybridge Suites) includes shoring and excavation and occupy per plans.
6311514,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/12/2014,"701 N 76TH ST
(47.68383739, -122.34972286)",98103,2014,9,"Construct kitchen addition to south unit of existing duplex, per floor plan and subject to field inspection. *REVISED 4/12//2013**"
6312407,Construction,Permit Issued,COMMERCIAL,04/03/2014,"223 NW 87TH ST
(47.69232637, -122.36027277)",98117,2014,4,"Establish use and construct middle single family residence with attached garage, and occupy per plan. (Establish use as live-work building and two single family residences with attached garages, per plan. Review and process for (3) A/P's with 6305673.)"
6312465,Construction,Permit Issued,COMMERCIAL,03/27/2015,"1501 4TH AVE
(47.6102272, -122.3374679)",98101,2015,3,"Blanket Permit for interior non-structural alterations to the 26th floor. For ""Seabright"", per plan."
6312492,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/08/2014,"3640 W COMMODORE WAY
(47.66618166, -122.40544798)",98199,2014,5,"Construct incline elevator with passenger cab on shoreline site of single family dwelling with new landing in the shoreline area, per plan."
6312605,Construction,Permit Issued,MULTIFAMILY,06/01/2018,"1340 15TH AVE S
(47.59046693, -122.31361655)",98144,2018,6,"Construct three-unit townhouse style boarding house structure with below grade parking and occupy, per plans."
6312722,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/06/2014,"422 W RAYE ST
(47.6435124, -122.36330644)",98119,2014,12,"Construct a detached accessory structure and carport for a single family residence, per plan"
6312862,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/20/2014,"6500 HIGH POINT DR SW
(47.54463294, -122.36755928)",98126,2014,5,Establish use as and construct new single family residence per plans
6312864,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,05/20/2014,"6502 HIGH POINT DR SW
(47.54458136, -122.36767273)",98126,2014,5,"Establish use as and construct new single family residence, per plans."
6312866,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/15/2014,"6504 HIGH POINT DR SW
(47.54465487, -122.36787081)",98126,2014,7,Establish use as and construct new single family residence per plans
6312868,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,07/15/2014,"6506 HIGH POINT DR SW
(47.54460505, -122.36785012)",98126,2014,7,Establish use as and construct new single family residence per plans
6313087,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/03/2016,"4049 31ST AVE S
(47.56667608, -122.29265906)",98108,2016,1,Construction alteration to existing single family residence for basement ADU/per plan.
6313094,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,04/30/2014,"2500 S DEARBORN ST
(47.59569845, -122.29984088)",98144,2014,4,"Establish use and construct 4-unit row houses w/attached garages, per plan."
6313243,Construction,Permit Issued,MULTIFAMILY,02/07/2014,"1768 16TH AVE S
(47.58725151, -122.31243459)",98144,2014,2,Establish use as and construct 4 rowhouses with attached garages per plan
6313821,Construction,Permit Issued,INDUSTRIAL,09/06/2016,"1451R 23RD AVE W
(47.63303335, -122.38697697)",98199,2016,9,"Grading for excavation, temporary shoring and backfill for launch pit and trench for CSO Control Project, per plans. Full plan revision approval by DPD for shoring and dewatering is required before construction can start. Plan revision must be routed to DPD Geotechnical Engineer for review."
6313987,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/21/2014,"6520 HIGH POINT DR SW
(47.54425891, -122.36778346)",98126,2014,3,"Construct one 5-bay garage, five 2-bay garages and two single car garages accessory to single family residences, per plans."
6314114,Construction,Permit Issued,COMMERCIAL,04/14/2018,"6505 15TH AVE NE
(47.67611314, -122.31243035)",98115,2018,4,"Phased project: Construction of a residential and retail building with below grade parking and occupy, per plan."
6314236,Construction,Permit Issued,COMMERCIAL,10/15/2014,"4745 UNIVERSITY WAY NE
(47.66433232, -122.31336239)",98105,2014,10,Change of Use from storage to private club (Night Owl Lounge) & Substantial Alterations at 2nd floor of existing commercial building & Occupy per plans. (Indoor participant sport per LU Code)
6314569,Construction,Permit Issued,MULTIFAMILY,02/18/2016,"81 VINE ST
(47.61455493, -122.35025739)",98121,2016,2,"Construct alterations to existing mixed use building for unit #504, per plan."
6315102,Construction,Permit Finaled,COMMERCIAL,07/15/2014,"11050 8TH AVE NE
(47.71025526, -122.32021551)",98125,2014,7,"Modification of an existing telecommunications facility consisting of the removal and replacement of (8) antennas with (4) NEW UMTS Antennas and (3) NEW LTE antennas and (1) NEW GSM antenna.  Also Add (6) Remote Radio Heads, (3) surge suppressors, (1) GPS and (1) TMA to the existing penthouse.  Additional Equipment to be added within the existing equipment room"
6315298,Construction,Permit Issued,MULTIFAMILY,07/17/2017,"3829 CALIFORNIA AVE SW
(47.56931261, -122.38711714)",98116,2017,7,"Establish use as multi-family residential, construct apartment building with enclosed parking, and occupy, per plan."
6315465,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,11/04/2017,"2139 HARBOR AVE SW
(47.58452961, -122.37556184)",98126,2017,11,"Establish use as and construct single family residence with attached garage, per plan."
6316016,Construction,Permit Finaled,MULTIFAMILY,04/25/2017,"4735 35TH AVE S
(47.55961839, -122.28947535)",98118,2017,4,"Construct Northwest three unit townhouse with attached garages, (Building #6) per plan (Construct 4 buildings with attached and surface parking. 4 A/P's under 6316016)."
6316401,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,02/02/2014,"3200 59TH AVE SW
(47.5756608, -122.40787537)",98116,2014,2,"12/23/2013 - CANCELLED CUSTOMER LOG #13-891Foundation repair to single family residence, per plans."
6316484,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,12/02/2017,"4212 NE 110TH ST
(47.70865803, -122.28228149)",98125,2017,12,"Establish use as and construct new single family residence, per plan."
6316822,Construction,Permit Issued,MULTIFAMILY,10/15/2015,"1728 SUMMIT AVE
(47.61732036, -122.3252791)",98122,2015,10,Establish use as and construct new apartment building and occupy per plans.
6316896,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,06/12/2014,"210 26TH AVE E
(47.62065896, -122.29830978)",98112,2014,6,"Construct West Duplex structure, per plans.  (Establish use as townhouse and single family residence) and construct (1) new duplex and (2) new single family residence w/ surface parking. w/review and process for 3 A/P under 6316896, per plan."
6316907,Construction,Permit Issued,COMMERCIAL,09/12/2016,"1714 13TH AVE
(47.61697774, -122.31525331)",98122,2016,9,Church alterations and addition to exising church / per plan.
6316967,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,01/25/2015,"2314 E LYNN ST
(47.63975285, -122.30269623)",98112,2015,1,"Repair retaining wall.(Repair retaining wall accessory to single family residence, per plans. Review & processing for 3 A/P's under 6316967)."
6317307,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/28/2015,"6537 40TH AVE SW
(47.54368417, -122.38349623)",98136,2015,8,"Establish use as and construct new single family residence with attached garge, per plan"
6317413,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/03/2018,"1212 3RD AVE W
(47.63005671, -122.36025182)",98119,2018,8,Construct addition and alterations to exisiting single family residence per plan.
6317596,Construction,Permit Issued,COMMERCIAL,12/11/2014,"4101 BEACON AVE S
(47.56724864, -122.3077676)",98108,2014,12,"Construct golf cart storage building this permit. (Construct clubhouse/ driving range structure, golf cart storage building, install driving range net support poles and pave golf cart paths, all per plan.) Routing for 2 A/P's with 6300726."
6317697,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,09/19/2016,"1209 WARREN AVE N
(47.63016252, -122.35479739)",98109,2016,9,Establish use as and construct new single family residence with attached garage per plan.
6318608,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/24/2017,"9714 RAINIER AVE S
(47.5165093, -122.25395965)",98118,2017,3,"Establish use as single family residence and construct one family dwelling and accessory pier, per plans."
6318733,Construction,Permit Finaled,MULTIFAMILY,04/10/2014,"5201 PHINNEY AVE N
(47.66653285, -122.35479866)",98103,2014,4,"Establish use and and construct new 3 unit rowhouse with surface parking, per plan"
6318753,Construction,Permit Issued,COMMERCIAL,05/26/2014,"115 BELL ST
(47.61362912, -122.34571049)",98121,2014,5,"Change use from A2 restaurant to nightclub/drinking establishment, construct minor interior alterations, and occupy per plan."
6319000,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,08/24/2018,"5235 SW JACOBSEN RD
(47.5591699, -122.40016658)",98116,2018,8,"Establish use and construct single family dwelling with attached garage, per plan."
6319158,Construction,Permit Issued,COMMERCIAL,12/18/2018,"550 BROADWAY
(47.60673038, -122.32036025)",98122,2018,12,Construct new multi-family structure with underground parking and occupy per plan.
6319277,Construction,Permit Issued,COMMERCIAL,11/17/2018,"700 DEXTER AVE N
(47.62566868, -122.34182192)",98109,2018,11,Install shoring per plan.
6319301,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/20/2014,"5914 UPLAND TER S
(47.54949438, -122.26608407)",98118,2014,3,"Construct addition and alterations to existing single family residence and create ADU, per plan."
6319416,Construction,Permit Issued,MULTIFAMILY,10/02/2018,"2028 43RD AVE E
(47.63783403, -122.2763189)",98112,2018,10,"Piling splice repairs and replacements supporting condominium building over water, per Shoreline Exemption 6319416 and per plans."
6319445,Construction,Permit Finaled,MULTIFAMILY,04/18/2014,"3001 60TH AVE SW
(47.57753201, -122.40969076)",98116,2014,4,"Establish use as and construct new four unit rowhouse structure, per plans"
6319477,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,05/30/2014,"7445B 4TH AVE NE
(47.68291297, -122.32483579)",98115,2014,5,"Construct new Northeast single family residence with attached garage per plan (Establish use and construct 4 single family residence with attached garage, Processing and Reviews done under A/P # 6319477)"
6319982,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/14/2014,"228 SW ROXBURY ST
(47.51765186, -122.33883369)",98106,2014,3,"Establish use as and construct new single family residence with attached garage, per plan."
6320135,Construction,Permit Issued,MULTIFAMILY,05/26/2018,"2204 12TH AVE W
(47.63879936, -122.37214945)",98119,2018,5,"Construct SE Bldg [#3], 1-townhouse structure and occupy, per plan (Establish use as townhouses and Construct 1 new mixed occupancy and 3 new townhouse structures/review and processing for 4 A/P's under #6320135)"
6320270,Construction,Permit Issued,COMMERCIAL,02/08/2014,"6303 ROOSEVELT WAY NE
(47.67426648, -122.31771651)",98115,2014,2,modify an existing minor telecommunication facility on roof of exiting mixed use building (A T & T) per plan.
6320304,Construction,Permit Issued,MULTIFAMILY,06/27/2014,"1018 SENECA ST
(47.61075689, -122.32690826)",98101,2014,6,Construct alterations to existing multifamily structure for expansion of an existing minor telecommunications utility equipment at the north courtyard/per plan.
6320316,Construction,Permit Finaled,MULTIFAMILY,02/08/2014,"1005 TERRACE ST
(47.60445762, -122.3217291)",98104,2014,2,Construct alterations to existing multifamily structure for expansion of minor telecommunications utility equipment on the roof top.
6320356,Construction,Permit Issued,MULTIFAMILY,07/09/2017,"222 FAIRVIEW AVE N
(47.6201316, -122.33377869)",98109,2017,7,"Shoring and excavation for construction of a residential and retail building with below grade parking, per plan."
6320359,Construction,Permit Finaled,SINGLE FAMILY / DUPLEX,04/04/2014,"9727 FREMONT AVE N
(47.70044464, -122.35035508)",98103,2014,4,Establish use as and construct a new single family residence with attached garage per plan.
6320382,Construction,Permit Issued,INDUSTRIAL,01/28/2016,"252 S CHICAGO ST
(47.53306686, -122.32896826)",98108,2016,1,"Establish use as general manufacturing, construct industrial building, and occupy, per plan."
6320585,Construction,Permit Issued,SINGLE FAMILY / DUPLEX,03/08/2018,"9818 40TH AVE SW
(47.51514478, -122.38303688)",98136,2018,3,"Construct detached shed accessory to single family residence, subject to field inspection"
